Hospital Division,Month,Patient Admissions,Average Cost Per Admission ($),Average Stay Duration (Days),Patient Satisfaction Rate (%),Staff Ratio (FTEs),Direct Staff Pay ($),Operational Overheads ($),PEMT Emergency Transfer Volume,Emergency Re-admission Rate (%)
Cardiology,July 2024,171,6420,4.9,93,2.9,55495,108124,33,2.5
Emergency Room,July 2024,626,1374,1.1,83,5.3,118168,223997,105,4.4
Neurology,July 2024,96,10612,8.1,84,2.4,56033,142810,14,2.5
Oncology,July 2024,134,7476,5.8,89,2.7,53999,150977,25,2.5
Pediatrics,July 2024,253,4258,3.4,96,2.6,34590,98812,36,2.5
Cardiology,August 2024,178,6977,6.2,89,3,53234,114405,31,2.5
Emergency Room,August 2024,606,1315,1.1,79,4.7,100232,229868,109,3.4
Neurology,August 2024,101,10949,8.2,84,2.3,57600,126364,17,2.5
Oncology,August 2024,161,8312,7.1,93,2.9,58678,164585,31,2.5
Pediatrics,August 2024,214,3868,3,92,2.7,38062,95427,34,3.3
Cardiology,September 2024,133,5852,5.2,84,2.2,39932,83372,22,2.5
Emergency Room,September 2024,363,1505,1.1,72,3.3,73096,150511,71,2.5
Neurology,September 2024,67,10775,8.8,79,1.6,38703,103056,11,2.5
Oncology,September 2024,89,9024,7,87,2.1,42133,117067,14,2.5
Pediatrics,September 2024,173,4107,3.1,91,2.2,32175,72889,27,2.5
Cardiology,October 2024,131,6425,5,89,2,36146,89422,22,3.3
Emergency Room,October 2024,438,1378,1.2,73,3.5,76298,169020,57,2.5
Neurology,October 2024,63,11725,8.9,83,1.6,39912,92745,10,2.5
Oncology,October 2024,102,7572,6.2,86,1.9,36585,114345,14,2.5
Pediatrics,October 2024,153,3838,2.9,88,1.8,24075,73409,30,2.5
Cardiology,November 2024,110,7229,5.8,86,2,35401,81525,15,2.5
Emergency Room,November 2024,375,1425,1.2,70,3.3,70313,176170,62,2.5
Neurology,November 2024,76,10411,8,84,1.8,43664,101753,13,2.5
Oncology,November 2024,107,6504,5.6,92,2.3,45066,134431,16,2.5
Pediatrics,November 2024,172,3289,2.8,90,1.9,26819,68813,27,3.2
Cardiology,December 2024,171,8272,6.3,93,3.3,63008,122969,33,2.5
Emergency Room,December 2024,620,1559,1.3,82,5,114381,219949,116,2.5
Neurology,December 2024,109,11034,8.5,84,2.2,52611,156526,15,2.5
Oncology,December 2024,141,8277,6.3,94,2.8,55855,162487,18,3.6
Pediatrics,December 2024,199,4260,3.1,92,2.6,35789,84828,37,3.8
Cardiology,January 2025,179,6582,4.8,90,2.9,52512,109911,25,2.5
Emergency Room,January 2025,595,1584,1.3,79,4.7,106075,212654,103,2.5
Neurology,January 2025,102,11163,8.8,85,2.2,50961,141455,17,2.5
Oncology,January 2025,131,8621,6.9,93,2.9,55139,154752,17,3.5
Pediatrics,January 2025,241,3543,3,98,3,41879,101030,47,2.5
Cardiology,February 2025,134,6900,5.7,89,2.3,42742,93887,25,2.5
Emergency Room,February 2025,429,1816,1.4,73,3.6,77002,174475,62,2.5
Neurology,February 2025,72,10302,8.1,82,1.8,44204,104463,10,2.5
Oncology,February 2025,96,8778,6.6,90,2,40627,113402,14,2.5
Pediatrics,February 2025,173,4032,3.1,91,1.8,25310,69063,23,3.9
Cardiology,March 2025,134,6598,5.3,87,2.1,39438,98397,18,2.5
Emergency Room,March 2025,487,1629,1.2,72,3.7,85291,177808,63,2.5
Neurology,March 2025,65,9028,7.2,80,1.6,40262,100192,13,2.5
Oncology,March 2025,97,8836,6.5,88,2.1,42884,114850,19,2.5
Pediatrics,March 2025,152,4383,3.3,93,1.8,24985,69604,19,2.5
Cardiology,April 2025,124,6501,5.6,85,2.4,43951,90768,23,2.6
Emergency Room,April 2025,394,1801,1.4,72,3.5,77637,158444,55,2.5
Neurology,April 2025,71,9861,7.9,83,1.6,37650,92892,10,2.5
Oncology,April 2025,100,8757,6.9,89,1.9,35989,116563,12,2.5
Pediatrics,April 2025,165,3198,2.8,90,2,27768,76923,23,2.5
Cardiology,May 2025,139,6375,4.8,85,2.3,41204,95213,26,2.5
Emergency Room,May 2025,433,1373,1.2,75,3.8,81242,167619,84,2.5
Neurology,May 2025,83,9231,7,80,1.8,42804,104355,13,2.5
Oncology,May 2025,95,6719,5.3,87,2,39563,116898,13,2.5
Pediatrics,May 2025,168,3325,2.9,93,2,26872,72788,25,2.5
Cardiology,June 2025,127,6556,5.1,85,2.4,44817,89271,24,3.9
Emergency Room,June 2025,443,1246,1.1,76,3.8,84367,187972,85,2.5
Neurology,June 2025,75,10603,8.8,82,2,46523,110091,15,2.5
Oncology,June 2025,113,8245,6.1,91,2.2,44345,112656,21,3.7
Pediatrics,June 2025,165,3735,3.1,94,2.2,29506,75468,25,2.5
Cardiology,July 2025,185,8377,6.1,94,3,54868,126245,36,3.7
Emergency Room,July 2025,582,1535,1.2,77,4.6,104016,221158,112,2.5
Neurology,July 2025,96,9113,7.9,84,2.4,55396,143609,13,2.5
Oncology,July 2025,140,7051,5.4,89,2.5,46817,165982,21,2.5
Pediatrics,July 2025,213,4282,3.4,93,2.6,36380,92826,39,2.5
Cardiology,August 2025,162,5507,4.8,88,2.7,49106,110554,27,2.5
Emergency Room,August 2025,587,1380,1.2,81,5.1,106951,241779,103,2.5
Neurology,August 2025,109,9555,7.3,87,2.3,53303,140554,15,2.5
Oncology,August 2025,124,7512,6.6,95,3,61299,170399,21,2.5
Pediatrics,August 2025,220,3908,3,95,2.4,35231,96692,37,2.5
Cardiology,September 2025,129,6197,4.7,84,2.2,40568,85710,21,3
Emergency Room,September 2025,433,1763,1.3,74,3.5,75734,183055,58,3.6
Neurology,September 2025,72,10712,8.2,83,1.5,36310,92468,10,3.3
Oncology,September 2025,110,9418,6.9,86,2.2,43460,137940,16,2.5
Pediatrics,September 2025,165,4591,3.5,90,1.8,24871,67439,32,3.7
Cardiology,October 2025,141,6481,4.8,87,2.6,47967,89043,18,2.5
Emergency Room,October 2025,386,1325,1.1,70,3.2,68037,159986,56,2.5
Neurology,October 2025,73,9002,6.7,80,1.4,33242,95617,9,3
Oncology,October 2025,108,8551,6.8,88,2.1,42953,132006,15,2.5
Pediatrics,October 2025,160,4855,3.6,93,1.8,26424,73561,29,4
Cardiology,November 2025,116,7548,5.6,86,2.1,36985,86983,17,3.4
Emergency Room,November 2025,456,1500,1.1,74,3.8,84052,168294,55,2.8
Neurology,November 2025,68,11340,8.5,80,1.7,39695,101703,9,2.5
Oncology,November 2025,95,7713,6.7,87,2.2,44558,117666,15,2.5
Pediatrics,November 2025,159,3328,2.9,92,2.1,28114,65678,26,3.4
Cardiology,December 2025,185,7119,5.6,94,3.4,60456,123442,26,2.5
Emergency Room,December 2025,565,1306,1.1,79,4.5,100654,214124,72,2.5
Neurology,December 2025,114,10482,8.3,86,2.6,61811,153768,22,2.5
Oncology,December 2025,146,7520,5.7,92,2.9,57790,184574,22,2.5
Pediatrics,December 2025,233,4290,3.2,95,2.7,38763,86043,32,3.5
Cardiology,January 2026,175,6826,5.7,89,3.1,58626,109749,34,2.5
Emergency Room,January 2026,513,1659,1.4,81,4.5,98250,218638,81,2.5
Neurology,January 2026,101,9918,7.8,83,2,47852,132158,19,2.5
Oncology,January 2026,140,6398,5.4,89,2.6,51593,159780,21,3.9
Pediatrics,January 2026,236,3866,3.4,94,2.8,39338,98134,28,3.9
Cardiology,February 2026,125,7520,5.7,85,1.9,34583,88181,21,3.7
Emergency Room,February 2026,373,1612,1.2,73,3.6,80531,156948,65,3.7
Neurology,February 2026,74,9586,7.6,84,1.8,41794,94022,13,2.5
Oncology,February 2026,107,7783,6.3,89,2.3,43460,132869,15,2.8
Pediatrics,February 2026,149,3646,3,92,1.9,25458,63388,24,4.4
